DATAFLOW,LAST UPDATE,freq,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Croatia,2025-S2,970,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Croatia,2026-S1,1050,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Hungary,2020-S2,452,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Hungary,2021-S1,442,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Hungary,2021-S2,476,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Hungary,2022-S1,542,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Hungary,2022-S2,504,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Hungary,2023-S1,579,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Hungary,2023-S2,624,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Hungary,2024-S1,697,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Hungary,2024-S2,675,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Hungary,2025-S1,707,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Hungary,2025-S2,727,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Hungary,2026-S1,838,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Ireland,2020-S2,1707,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Ireland,2021-S1,1724,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Ireland,2021-S2,1724,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Ireland,2022-S1,1775,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Ireland,2022-S2,1775,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Ireland,2023-S1,1910,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Ireland,2023-S2,1910,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Ireland,2024-S1,2146,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Ireland,2024-S2,2146,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Ireland,2025-S1,2282,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Ireland,2025-S2,2282,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Ireland,2026-S1,2391,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Iceland,2020-S2,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Iceland,2021-S1,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Iceland,2021-S2,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Iceland,2022-S1,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Iceland,2022-S2,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Iceland,2023-S1,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Iceland,2023-S2,,m,
